,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",15154.774219375344,1785294.6134526026,8591.46308030959,964236.2596035616,31331.66506065014,736837.1963542466,52895.22141509589,0,0
1,"(0, 15)",14123.642169969864,1695536.3433438356,7852.623844638356,886186.8547441096,31514.636713783835,725501.9962912329,52332.05542213698,0,15
2,"(0, 30)",14138.643256810958,1697255.281838904,7725.553489441096,876214.1708832877,32424.2790133337,736082.7736978082,52532.90920161644,0,30
3,"(0, 45)",13972.168715934244,1686577.9171583562,7544.426887654795,859232.561739178,33252.21204960931,741785.0180641096,52306.951347917806,0,45
4,"(1, 0)",13961.800157569864,1674520.151709041,7405.810531452054,844635.3174860274,33863.96554403398,744228.3422432877,51791.346341479446,1,0
5,"(1, 15)",13455.52086701096,1572192.2958684932,6858.299905219178,770737.2787112329,34094.461830391505,718015.0456380822,49340.58695290411,1,15
6,"(1, 30)",13378.503428942466,1567285.5198775344,6695.705944961644,756910.4741117809,35292.88243783808,725811.4660156164,49265.77729515069,1,30
7,"(1, 45)",13249.287224838356,1548720.449818356,6551.088719928767,738492.322239452,35876.31098018986,725855.9628221918,48491.13077841096,1,45
8,"(2, 0)",13111.716799517808,1532596.4059156163,6413.295609071233,723431.6525027398,36489.73508565726,724801.8695630138,47869.08085403014,2,0
9,"(2, 15)",12591.065939372602,1432928.877511507,5992.964131479453,671535.3994364383,34808.98735067342,681125.7695552603,45459.51360037808,2,15
10,"(2, 30)",12586.031748846575,1433624.0266156164,5910.601774849315,661643.6503750685,35803.24911578685,690742.2755310684,45435.59545939452,2,30
11,"(2, 45)",12458.028502093151,1422023.1379671232,5816.318612068493,650444.9543624658,36273.56779225479,690555.6150317261,44749.29710147397,2,45
12,"(3, 0)",12521.487220865753,1418890.5222254794,5749.244341241097,642856.253990411,36867.0478010148,694705.4384323014,44462.15402073973,3,0
13,"(3, 15)",11764.430236695893,1338095.8995745203,5526.491770024658,612683.3439553425,33841.05466954192,649912.162422822,41669.88038727945,3,15
14,"(3, 30)",11886.364420271231,1347687.3537641095,5489.514052460274,609068.087130685,35079.2950365115,661762.47855,41788.390334120544,3,30
15,"(3, 45)",11817.546254249315,1348699.71113863,5434.170200030137,605693.0587641095,35404.363686808494,665740.402233863,41873.08834386849,3,45
16,"(4, 0)",11908.005568019178,1356690.133107945,5415.426606126028,604630.1414312328,36079.84263803288,673872.7581185205,42118.25696075068,4,0
17,"(4, 15)",11619.503718663014,1321015.7549246575,5463.769887147945,591599.38468,36447.55493061835,651638.4329086576,41326.05104606302,4,15
18,"(4, 30)",11702.44713040274,1331588.8360180822,5444.648170909589,590233.2576241095,37154.5991536274,662907.1536270137,41289.772951830135,4,30
19,"(4, 45)",11819.960503835617,1347958.3070936988,5500.030498882192,593886.3319871232,37985.75929012493,673956.4486646575,42125.6762388,4,45
20,"(5, 0)",11939.869657136987,1360490.6782676713,5496.38128600548,595808.9855775342,38497.95133450027,683554.3444060275,42625.61583906027,5,0
21,"(5, 15)",11790.398097630135,1400751.8032317809,5706.990821098631,608663.7256778082,39883.87930486329,706500.8009005205,45700.526589361645,5,15
22,"(5, 30)",11870.21589421644,1402024.8670649314,5636.692559353425,604182.5234476712,40337.36064141945,712191.3331056712,45311.09363274795,5,30
23,"(5, 45)",12170.986322972602,1435298.6677827395,5781.339636194521,615892.3460715069,41085.09657639041,731531.2833904931,46787.92729530136,5,45
24,"(6, 0)",12215.35228960274,1445927.1657772602,5797.925942276713,619067.9228284932,41261.94336910712,738494.8430713972,47099.67538500274,6,0
25,"(6, 15)",12593.28557929589,1518288.1016575345,5932.541498041095,644992.6150547946,42571.90821616384,780542.8923914246,50178.00862259178,6,15
26,"(6, 30)",12877.139930109588,1517995.960912603,5972.653651487672,642905.8251742466,42468.9100868485,782614.8908529589,50004.205984800006,6,30
27,"(6, 45)",13148.335315750684,1556915.1918032877,6078.970393887671,657979.3815827398,43344.1503982326,803876.2910010137,51712.7212840274,6,45
28,"(7, 0)",13341.57501478904,1572453.894130959,6174.780640621919,664967.6932394521,43548.28299404959,811670.259606137,52265.41373430411,7,0
29,"(7, 15)",14278.757606495892,1710338.8434331506,6759.202647191781,718547.3386216438,48024.20076136712,887473.0392707397,56291.50536829041,7,15
30,"(7, 30)",14534.319277756164,1711608.321501096,6813.394221323287,719777.6640065754,47440.33575698904,887364.9717831782,57022.86511811507,7,30
31,"(7, 45)",14862.58353347671,1765814.3493526028,6956.942753073972,743991.3802287672,48600.55414138904,914141.980068959,59079.221129613696,7,45
